index,latitude,longitude,elevation_m
79,37.640159,-118.95829446956976,2380.643856357457
80,37.640159,-118.95817800216687,2380.010881341765
81,37.640157725764944,-118.9580638673151,2379.362882472191
82,37.640157,-118.95794827696106,2378.717360442925
83,37.640157,-118.95783297062516,2378.08727117564
84,37.640157,-118.95771745131648,2377.4589745461067
85,37.64015615244678,-118.95760197955164,2377.0
86,37.64015300678168,-118.95748684820934,2377.0
87,37.640152,-118.95737082124116,2377.0
88,37.640152,-118.9572546538244,2377.0
89,37.640152,-118.95713976745482,2377.0
90,37.640152,-118.957024016413,2376.722599020911
91,37.640152,-118.956908677177,2376.118728675464
92,37.640152,-118.95679315495452,2375.516432054807
93,37.640152,-118.95667740468689,2375.0
94,37.640152,-118.95656191413394,2375.0
95,37.640152,-118.95644654185584,2374.676857912048
96,37.640152,-118.956330154345,2374.0443170924163
97,37.640152,-118.956215713158,2373.3960974886013
98,37.640152,-118.95610033907631,2372.739080436157
99,37.640152,-118.9559841061806,2372.074892460553
100,37.64014716782026,-118.9558695242255,2372.0
101,37.64014196164953,-118.95575407958869,2372.0
102,37.64013719867058,-118.95563976809382,2372.0
103,37.64012878119157,-118.95552372997818,2371.3677839668976
104,37.64011693357798,-118.95540925238896,2371.0
105,37.640100796426815,-118.95529564684476,2371.0
106,37.64007906516428,-118.95518332582137,2370.430433265001
119,37.64005633247525,-118.955071478369,2369.798223033191
120,37.640032844221466,-118.95495960010751,2369.1801110913225
121,37.64000780048268,-118.9548488752427,2368.556109333565
122,37.63998191630176,-118.95473892764944,2368.0
123,37.6399535715635,-118.95462796101457,2368.0
124,37.63992319779117,-118.95451902987878,2368.0
125,37.63988986344642,-118.95441100190968,2368.0
126,37.63986091781032,-118.95430172299147,2367.487062451671
127,37.63983265937877,-118.95419219032031,2367.0
128,37.63980329372946,-118.95408191931062,2367.0
129,37.63977318830593,-118.95397315907076,2366.663766118674
130,37.639742531887386,-118.95386586160583,2366.050637747699
131,37.639713519020624,-118.95375485907957,2365.459571849449
132,37.63968516040271,-118.95364511831262,2365.0
133,37.63965709774253,-118.95353515850135,2365.0
134,37.63962821765878,-118.95342520952032,2364.7447714589216
135,37.63959841905927,-118.95331539616284,2364.192945541892
136,37.639569855057175,-118.95320627175344,2363.6296950441865
137,37.639541629307374,-118.95309624893284,2363.053659334233
138,37.63951276342933,-118.95298682576286,2362.475268586583
139,37.63948387119039,-118.95287774277143,2362.0
140,37.6394545252174,-118.95276755694832,2362.0
141,37.63942482450885,-118.95265826492034,2361.793046460133
142,37.63939424423423,-118.95254953505504,2361.226745078252
143,37.6393654999444,-118.95243966304176,2361.0
144,37.63933797938147,-118.9523290191459,2361.0
145,37.63930790341183,-118.95222023243812,2360.5352483671327
146,37.63927733863664,-118.952112299805,2359.97135580413
147,37.63924549961223,-118.95200305901436,2359.4224071073936
148,37.63921451448177,-118.95189398442967,2358.867642485055
149,37.63918621124518,-118.95178481480283,2358.2900254118804
150,37.639161008108346,-118.95167363132484,2357.718156624273
151,37.63913917399071,-118.95156166149086,2357.158307454241
152,37.6391246320377,-118.9514475158002,2357.0
153,37.639112956796,-118.95133243127484,2357.0
